Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.2,7.520509121303998,0.9267578125,75,388,54,236,7,47,0,0,0,0,0,0
0.30000000000000004,8.222621712436712,0.9091796875,93,498,63,262,10,74,0,0,0,0,0,0
0.4,7.990868856806763,0.6416015625,367,2272,172,806,49,341,4,33,0,0,0,0
0.5,12.940465139472773,0.4130859375,601,4214,145,714,68,454,21,168,0,0,0,0
0.6000000000000001,13.54856466561293,0.2626953125,755,5442,107,468,48,282,18,142,6,52,0,0
0.7,10.189177445737048,0.0498046875,973,7286,79,394,34,221,14,107,9,70,1,5
0.8,14.104707694123707,0.0,1024,7812,1,0,1,0,1,0,1,0,1,0
0.2,12.009398308777861,0.98828125,12,30,9,14,1,2,0,0,0,0,0,0
0.30000000000000004,10.91546183269125,0.8388671875,165,986,78,344,21,136,2,15,0,0,0,0
0.4,6.7161920303106974,0.7294921875,277,1442,157,604,32,180,2,13,0,0,0,0
0.5,12.935917272245923,0.4599609375,553,3824,151,704,54,378,16,146,1,12,0,0
0.6000000000000001,8.23896181784259,0.1875,832,6000,121,580,49,324,19,154,7,60,0,0
0.7,9.22480682231978,0.1416015625,879,6414,144,758,77,503,30,225,3,16,0,0
0.8,5.239337922243,0.029296875,994,7452,91,488,57,358,29,207,8,65,0,0
0.2,11.270529547130415,0.974609375,26,150,14,62,4,26,0,0,0,0,0,0
0.30000000000000004,11.408949123008355,0.798828125,206,1330,80,364,22,163,5,45,0,0,0,0
0.4,11.281988792359366,0.7119140625,295,1926,127,620,40,284,4,40,0,0,0,0
0.5,10.057607978938714,0.4833984375,529,3570,178,822,61,428,14,138,0,0,0,0
0.6000000000000001,8.694817776547833,0.2724609375,745,5334,163,838,74,494,22,172,2,22,0,0
0.7,5.230361988708726,0.125,896,6336,188,938,92,598,28,225,2,14,0,0
0.8,6.675154450033247,0.015625,1008,7616,42,190,22,128,15,97,7,37,2,8
0.2,5.27053514313862,0.9541015625,47,184,38,124,3,14,0,0,0,0,0,0
0.30000000000000004,12.896509574670791,0.826171875,178,1124,76,342,22,153,3,30,0,0,0,0
0.4,7.182274633425112,0.7509765625,255,1466,147,644,32,220,1,13,0,0,0,0
0.5,11.610598889414884,0.5654296875,445,2882,166,766,53,347,10,88,0,0,0,0
0.6000000000000001,5.343426424695833,0.236328125,782,5298,257,1308,111,756,16,121,0,0,0,0
0.7,14.970210203619054,0.064453125,958,7194,61,314,43,254,24,153,6,46,1,9
0.8,6.0567088977606875,0.056640625,966,7162,96,504,54,340,23,158,5,33,1,8
