Threshold,Resolution,Obstacle %,Base V #,Base E #,D(0) V #,D(0) E #,D(1) V #,D(1) E #,D(2) V #,D(2) E #,D(3) V #,D(3) E #,D(4) V #,D(4) E #
0.5,12.206830139300987,0.3779296875,637,4496,166,834,69,484,22,191,0,0,0,0
0.5,13.0117687253351,0.5146484375,497,3400,140,644,55,360,12,110,1,19,0,0
0.5,6.77000821900987,0.4873046875,525,3382,228,1098,79,558,5,57,0,0,0,0
0.5,14.122913198143609,0.4453125,568,3990,142,674,58,390,21,187,0,0,0,0
0.5,12.161136785893607,0.5244140625,487,3366,163,808,60,444,12,124,0,0,0,0
0.5,13.420342124015102,0.501953125,510,3484,144,674,54,360,17,138,0,0,0,0
0.5,9.969380476594573,0.50390625,508,3364,154,696,58,374,15,123,0,0,0,0
0.5,10.58525341936742,0.3154296875,701,4944,212,1138,91,661,18,153,0,0,0,0
0.5,14.248280550442283,0.5390625,472,3262,136,660,56,378,14,119,0,0,0,0
0.5,14.645108363943734,0.5224609375,489,3402,117,534,48,307,15,126,1,18,0,0
0.5,13.368239817397972,0.525390625,486,3294,132,612,50,325,17,131,0,0,0,0
0.5,13.673101833153908,0.5107421875,501,3516,135,654,54,362,13,127,1,15,0,0
0.5,13.477106419487912,0.568359375,442,3046,115,532,49,322,15,126,0,0,0,0
0.5,8.187512329730286,0.423828125,590,3940,197,944,75,507,14,120,0,0,0,0
0.5,10.383038158453594,0.390625,624,4360,177,918,81,561,13,124,1,9,0,0
0.5,9.26212448727187,0.5498046875,461,2984,152,674,55,356,12,87,0,0,0,0
0.5,12.889022410376938,0.4501953125,563,3972,140,680,57,393,21,182,0,0,0,0
0.5,13.656582494751797,0.4384765625,575,3972,149,702,66,423,19,165,0,0,0,0
0.5,12.693170726624231,0.48828125,524,3692,125,584,53,342,12,115,2,27,0,0
0.5,8.973666405424709,0.484375,528,3460,204,984,80,553,7,66,0,0,0,0
0.5,8.251474713962299,0.4580078125,555,3702,195,920,64,441,14,135,0,0,0,0
0.5,11.609560202904193,0.5380859375,473,3224,125,578,48,306,13,103,1,11,0,0
0.5,7.479788335519267,0.5791015625,431,2620,215,970,64,444,2,21,0,0,0,0
0.5,6.474668417565077,0.5302734375,481,2974,214,940,57,394,8,71,0,0,0,0
0.5,12.669486443201937,0.517578125,494,3502,134,702,64,447,14,122,0,0,0,0
0.5,10.660597660972059,0.58984375,420,2716,162,726,54,357,8,82,0,0,0,0
0.5,14.580798818761595,0.490234375,522,3688,126,612,52,346,12,109,2,28,0,0
0.5,12.969451046685851,0.5244140625,487,3358,130,610,55,352,12,107,1,12,0,0
0.5,13.747307876223642,0.5966796875,413,2826,101,462,40,261,16,118,0,0,0,0
0.5,6.029772190547758,0.5556640625,455,2690,254,1148,55,397,3,35,0,0,0,0
0.5,13.619127806382638,0.375,640,4590,136,688,72,477,24,205,0,0,0,0
0.5,6.359951022797978,0.5166015625,495,3174,204,966,65,464,8,77,0,0,0,0
0.5,14.316422481569886,0.6396484375,369,2384,129,580,44,275,9,66,0,0,0,0
0.5,7.004244232931908,0.490234375,522,3272,225,1008,63,447,9,84,0,0,0,0
0.5,14.912400477479652,0.4296875,584,4172,134,678,62,413,22,183,0,0,0,0
0.5,12.28409353943227,0.4345703125,579,3968,180,896,73,493,15,132,0,0,0,0
0.5,7.892202446140384,0.48828125,524,3398,209,954,61,436,11,109,0,0,0,0
0.5,13.191276633121058,0.3193359375,697,5012,127,614,58,375,17,154,4,52,0,0
0.5,9.66519816857317,0.4375,576,3894,186,884,66,453,16,147,0,0,0,0
0.5,5.847159580202852,0.517578125,494,2994,218,952,56,373,9,79,0,0,0,0
0.5,13.88699052742963,0.6064453125,403,2662,109,474,50,284,12,88,0,0,0,0
0.5,7.052328876253292,0.5517578125,459,2820,237,1104,62,428,3,41,0,0,0,0
0.5,5.085249837988148,0.5205078125,491,2852,296,1364,61,445,1,13,0,0,0,0
0.5,11.408904521224681,0.53515625,476,3218,134,600,54,345,15,137,0,0,0,0
0.5,8.365095083033976,0.55859375,452,2948,173,782,53,377,10,111,0,0,0,0
0.5,7.527642067515561,0.5146484375,497,3130,215,964,66,457,7,67,0,0,0,0
0.5,7.2619884947841475,0.4462890625,567,3710,228,1106,77,530,9,85,0,0,0,0
0.5,5.102297689213653,0.484375,528,3128,288,1356,80,531,0,0,0,0,0,0
0.5,11.889553472889546,0.5615234375,449,3046,137,642,56,376,12,107,0,0,0,0
0.5,8.530377355448541,0.5517578125,459,2968,171,786,64,414,8,69,0,0,0,0
0.5,14.722021689183025,0.4892578125,523,3614,139,648,56,360,14,122,1,11,0,0
0.5,9.668452824485035,0.478515625,534,3640,168,812,70,471,13,122,0,0,0,0
0.5,10.915603645824898,0.486328125,526,3666,148,720,58,397,17,154,0,0,0,0
0.5,10.111012163668406,0.5458984375,465,3172,144,676,55,381,13,126,0,0,0,0
0.5,14.877459127030592,0.509765625,502,3446,115,510,49,294,16,127,1,9,0,0
0.5,7.026560156086483,0.525390625,486,3056,228,1080,70,498,4,41,0,0,0,0
0.5,6.374710471687617,0.453125,560,3602,218,994,70,480,11,109,0,0,0,0
0.5,5.3807914814870195,0.4912109375,521,3156,269,1254,80,556,1,9,0,0,0,0
0.5,9.240800531380374,0.4169921875,597,3962,213,1052,88,583,10,88,0,0,0,0
0.5,13.772265485491701,0.5126953125,499,3446,139,666,60,406,15,130,0,0,0,0
0.5,13.127203514519433,0.525390625,486,3374,114,522,52,318,14,112,1,17,0,0
0.5,12.363037973396311,0.5390625,472,3282,127,572,39,273,11,112,2,31,0,0
0.5,12.551717115575936,0.576171875,434,3034,110,486,36,244,6,67,3,42,0,0
0.5,12.477789533451102,0.427734375,586,4134,139,692,57,393,23,178,0,0,0,0
0.5,10.22040460671036,0.5400390625,471,3162,144,632,53,350,14,123,0,0,0,0
0.5,14.434264919887434,0.53515625,476,3278,140,644,44,316,13,120,1,18,0,0
0.5,14.081118630561132,0.3837890625,631,4526,139,704,64,443,21,182,1,11,0,0
0.5,13.386560467050813,0.580078125,430,2914,124,584,50,324,13,110,0,0,0,0
0.5,10.984375863538366,0.58984375,420,2898,132,662,52,364,11,108,0,0,0,0
0.5,13.086746900104014,0.478515625,534,3674,138,630,56,366,19,166,0,0,0,0
0.5,6.96387565769748,0.4716796875,541,3522,214,1034,77,523,8,73,0,0,0,0
0.5,5.97688090555645,0.458984375,554,3464,260,1252,78,545,5,43,0,0,0,0
0.5,12.139690753531202,0.365234375,650,4582,185,952,75,535,20,173,0,0,0,0
0.5,5.753682980188968,0.55078125,460,2770,217,972,73,466,2,17,0,0,0,0
0.5,12.36700537935054,0.4384765625,575,4152,134,670,55,392,15,157,2,31,0,0
0.5,13.712871377973489,0.33984375,676,4900,127,638,59,391,23,187,2,23,0,0
0.5,10.275968622201301,0.548828125,462,3052,174,818,60,414,9,89,0,0,0,0
0.5,6.249303768294858,0.4873046875,525,3318,243,1154,74,526,5,52,0,0,0,0
0.5,12.542703890554943,0.5419921875,469,3140,148,668,51,338,14,127,0,0,0,0
0.5,7.578382382346001,0.4853515625,527,3368,197,878,62,416,12,100,0,0,0,0
0.5,12.415137094449879,0.45703125,556,3912,142,696,58,400,16,132,1,16,0,0
0.5,11.185478067530987,0.52734375,484,3358,136,680,52,368,12,96,1,8,0,0
0.5,11.496853218245054,0.4462890625,567,3962,177,900,70,506,15,142,0,0,0,0
0.5,5.418757471597484,0.4921875,520,3194,259,1210,79,557,2,16,0,0,0,0
0.5,9.550824198727222,0.515625,496,3280,187,870,59,412,11,115,0,0,0,0
0.5,9.753257966558929,0.5498046875,461,3012,182,862,69,465,6,68,0,0,0,0
0.5,12.684181607263335,0.490234375,522,3578,156,742,58,390,16,138,0,0,0,0
0.5,6.616226758396239,0.494140625,518,3188,227,1016,69,454,7,63,0,0,0,0
0.5,8.37920549647961,0.5478515625,463,3062,175,812,56,399,10,102,0,0,0,0
0.5,6.0333954068569415,0.49609375,516,3134,264,1194,64,466,5,48,0,0,0,0
0.5,7.134330664046594,0.4833984375,529,3334,226,1014,69,461,8,91,0,0,0,0
0.5,6.030605736377174,0.5576171875,453,2714,234,1054,69,483,1,13,0,0,0,0
0.5,7.4094858721532635,0.5390625,472,2968,214,982,54,389,8,85,0,0,0,0
0.5,6.327529815173005,0.505859375,506,3160,227,1038,65,448,7,69,0,0,0,0
0.5,13.52836335433832,0.466796875,546,3794,156,768,58,421,18,157,0,0,0,0
0.5,8.848081847348702,0.423828125,590,4028,209,1052,75,551,13,124,0,0,0,0
0.5,5.851245941175348,0.46875,544,3396,253,1222,93,626,1,13,0,0,0,0
0.5,11.975143356611866,0.4755859375,537,3668,144,662,51,349,16,132,1,6,0,0
0.5,7.539841655472399,0.4970703125,515,3378,182,832,59,409,9,88,1,9,0,0
0.5,6.483246547455561,0.4599609375,553,3542,238,1170,93,637,3,25,0,0,0,0
