,,,,,0.155229957,,,,,,,,,,
Threshold,Resolution,Obstacle %,,3539.951662,549.5065458,291.0684794,92.93454179,15.4612286,,,,,,,
0.476371898,11.82326946,0.576171875,57.6171875,2822,740,356,77,0,0,0.262225372,26.22253721,0.126151665,0.027285613,0,0
0.738957871,5.325848514,0.091796875,9.1796875,6772,934,563,253,32,0,0.137920851,13.79208506,0.083136444,0.037359716,0.00472534,0
0.764172343,14.39061507,0.100585938,10.05859375,6842,350,227,134,40,6,0.051154633,5.115463315,0.033177433,0.019584917,0.005846244,0.000876937
0.318067418,9.560951429,0.782226563,78.22265625,1360,436,213,17,0,0,0.320588235,32.05882353,0.156617647,0.0125,0,0
0.4429138,12.38006577,0.569335938,56.93359375,3044,762,420,94,0,0,0.250328515,25.03285151,0.137976347,0.03088042,0,0
0.463025564,5.467165132,0.622070313,62.20703125,2208,966,344,10,0,0,0.4375,43.75,0.155797101,0.004528986,0,0
0.393916771,8.395689318,0.69921875,69.921875,1886,616,239,45,0,0,0.326617179,32.66171792,0.126723224,0.023860021,0,0
0.650707869,7.089307128,0.212890625,21.2890625,5636,1108,654,229,0,0,0.196593329,19.65933286,0.116039744,0.040631654,0,0
0.362410659,13.72293649,0.8515625,85.15625,936,262,116,25,0,0,0.27991453,27.99145299,0.123931624,0.026709402,0,0
0.757046697,8.653636434,0.0859375,8.59375,6866,530,369,183,45,0,0.07719196,7.719196038,0.053743082,0.026653073,0.006554034,0
0.665727759,10.62128131,0.091796875,9.1796875,6978,392,279,193,64,0,0.056176555,5.617655489,0.039982803,0.027658355,0.009171682,0
0.543726384,8.330678382,0.360351563,36.03515625,4562,878,498,81,29,0,0.192459448,19.24594476,0.109162648,0.01775537,0.006356861,0
0.770470205,7.336486225,0.05859375,5.859375,7184,454,299,178,73,0,0.063195991,6.319599109,0.041620267,0.024777283,0.01016147,0
0.339064711,8.60979723,0.889648438,88.96484375,634,240,81,10,0,0,0.378548896,37.85488959,0.127760252,0.015772871,0,0
0.534985464,9.775028145,0.380859375,38.0859375,4286,1078,549,139,0,0,0.251516566,25.15165656,0.128091461,0.032431171,0,0
0.721104386,6.270729875,0.102539063,10.25390625,6666,882,591,221,26,0,0.132313231,13.23132313,0.088658866,0.033153315,0.00390039,0
0.344695823,11.10888742,0.734375,73.4375,1790,516,251,49,0,0,0.288268156,28.82681564,0.140223464,0.027374302,0,0
0.703473501,9.731254551,0.139648438,13.96484375,6492,574,381,181,49,0,0.088416513,8.841651263,0.058687616,0.027880468,0.007547751,0
0.505395622,6.910879497,0.478515625,47.8515625,3356,1032,501,50,0,0,0.307508939,30.75089392,0.149284863,0.014898689,0,0
0.698282549,13.04519375,0.080078125,8.0078125,6998,436,306,189,53,0,0.062303515,6.230351529,0.043726779,0.027007716,0.007573592,0
0.307401656,11.59967443,0.827148438,82.71484375,1104,424,189,9,0,0,0.384057971,38.4057971,0.171195652,0.008152174,0,0
0.792091489,8.409633648,0.091796875,9.1796875,6844,678,461,181,62,0,0.099064874,9.906487434,0.06735827,0.026446523,0.00905903,0
0.387931318,12.09189923,0.76171875,76.171875,1580,520,220,38,0,0,0.329113924,32.91139241,0.139240506,0.024050633,0,0
0.240247441,8.408883858,0.927734375,92.7734375,360,156,32,11,0,0,0.433333333,43.33333333,0.088888889,0.030555556,0,0
0.215833629,9.198251876,0.9765625,97.65625,74,40,7,0,0,0,0.540540541,54.05405405,0.094594595,0,0,0
0.338421432,14.89552959,0.634765625,63.4765625,2638,546,317,102,0,0,0.206974981,20.6974981,0.120166793,0.038665656,0,0
0.616135118,8.327887527,0.247070313,24.70703125,5474,864,564,193,12,0,0.157837048,15.78370479,0.103032517,0.035257581,0.002192181,0
0.785005699,13.14291629,0.029296875,2.9296875,7512,130,79,52,25,16,0.017305644,1.73056443,0.010516507,0.006922258,0.003328009,0.002129925
0.484973435,14.08758012,0.442382813,44.23828125,4108,594,345,161,23,0,0.14459591,14.45959104,0.083982473,0.039191821,0.005598832,0
0.239958026,10.133247,0.943359375,94.3359375,322,110,34,9,0,0,0.341614907,34.16149068,0.105590062,0.027950311,0,0
0.768324253,14.96228327,0.026367188,2.63671875,7516,232,165,76,49,17,0.030867483,3.08674827,0.021953167,0.010111762,0.006519425,0.002261841
0.379991725,14.27470345,0.735351563,73.53515625,1918,388,203,91,0,0,0.202294056,20.22940563,0.105839416,0.047445255,0,0
0.314891307,8.81571286,0.854492188,85.44921875,896,290,121,21,0,0,0.323660714,32.36607143,0.135044643,0.0234375,0,0
0.505916763,9.566323964,0.4609375,46.09375,3740,910,482,130,0,0,0.243315508,24.3315508,0.128877005,0.034759358,0,0
0.537402515,9.526504737,0.47265625,47.265625,3586,856,440,116,0,0,0.238706079,23.87060792,0.122699387,0.03234802,0,0
0.733222758,9.401158439,0.057617188,5.76171875,7238,354,253,158,79,0,0.048908538,4.890853827,0.034954407,0.021829235,0.010914617,0
0.579813084,10.51056511,0.30078125,30.078125,5076,688,383,178,31,0,0.135539795,13.55397951,0.075453113,0.035066982,0.006107171,0
0.599540573,9.568184715,0.213867188,21.38671875,5836,732,443,206,33,0,0.125428376,12.54283756,0.075908156,0.035298149,0.005654558,0
0.35239768,5.370902944,0.80078125,80.078125,992,506,138,0,0,0,0.510080645,51.00806452,0.139112903,0,0,0
0.631864506,8.50578193,0.240234375,24.0234375,5510,836,519,138,24,0,0.151724138,15.17241379,0.094192377,0.025045372,0.004355717,0
0.556720403,12.65660434,0.266601563,26.66015625,5436,602,374,194,19,0,0.110743194,11.07431935,0.068800589,0.035688006,0.003495217,0
0.566494234,11.23662717,0.340820313,34.08203125,4728,742,428,198,11,0,0.156937394,15.69373942,0.090524535,0.041878173,0.002326565,0
0.604808981,6.175770348,0.24609375,24.609375,5218,1254,711,150,0,0,0.240321962,24.03219624,0.136259103,0.028746646,0,0
0.526420609,7.151509554,0.426757813,42.67578125,3878,1084,581,95,0,0,0.279525529,27.95255286,0.149819495,0.024497163,0,0
0.523558564,12.51292195,0.487304688,48.73046875,3538,630,340,120,11,0,0.178066704,17.80667044,0.096099491,0.033917467,0.003109101,0
0.358939868,5.877528655,0.834960938,83.49609375,832,426,115,0,0,0,0.512019231,51.20192308,0.138221154,0,0,0
0.79183553,8.747193503,0.07421875,7.421875,7024,458,299,155,69,0,0.065205011,6.520501139,0.042568337,0.022067198,0.009823462,0
0.360609359,6.138887474,0.833984375,83.3984375,866,440,101,5,0,0,0.508083141,50.80831409,0.116628176,0.005773672,0,0
0.523548532,12.30202897,0.470703125,47.0703125,3710,808,405,132,0,0,0.217789757,21.77897574,0.10916442,0.035579515,0,0
0.30365296,6.607492929,0.874023438,87.40234375,638,336,89,0,0,0,0.526645768,52.6645768,0.139498433,0,0,0
0.528686479,13.92714861,0.388671875,38.8671875,4450,564,384,162,10,0,0.126741573,12.6741573,0.086292135,0.036404494,0.002247191,0
0.397012468,6.768138743,0.741210938,74.12109375,1472,682,226,0,0,0,0.463315217,46.33152174,0.153532609,0,0,0
0.407116854,13.03968998,0.685546875,68.5546875,2138,498,260,72,0,0,0.23292797,23.29279701,0.12160898,0.033676333,0,0
0.436719816,13.21504942,0.673828125,67.3828125,2332,516,285,91,0,0,0.221269297,22.12692967,0.122212693,0.039022298,0,0
